trait,runNum,Tmax,Precip,Ca,Ccwd,Cdoc1,Cdoc2,Cl,Cr,Cs1,Cs2,Cs3,Cs4,Cw,Cwmin,Ds1,Ds3,Ds4,GPP,LCE/NEE,LCT1,LCT2,Ls1,Ls3,NEE,NPP,Q1,Q2,Ra,Rhdoc,Rhdoc2,Rr,Rs1,Rs3,SumD,SumLdoc,SumRSoil,T,W1,W2
6,3,12,75,455222.0051,1.964702794,1.944102201,0.580963443,48.41506849,117.3173189,0.791411918,23.8735522,106.2709927,1334.804989,1434.232554,1424.428123,106.8801795,54.30447726,48.72038211,378.9102209,-1.135882824,7.159678388,1.148302353,42.75207179,0.005430448,-7.314117762,185.3030544,30.9481052,13.16318147,192.4755862,29.99965215,8.336853868,0,35.27201438,5.820787229,44.11128667,8.307980741,177.9889366,30.88871333,8.676473771,6.157055517
6,4,12,100,706677.826,3.474203831,2.230179301,0.830744813,48.41506849,207.3684154,1.040797162,32.38577946,133.0875146,1630.455187,2536.166518,2525.002508,140.5596568,68.00771996,59.51161431,452.4921969,-1.097177026,11.36874759,2.096515357,56.22386271,0.006800772,-12.27264391,246.9387507,44.59530066,18.76804219,203.5300331,35.65251448,12.36837643,0,48.52001049,8.673749056,63.36334285,13.46526295,234.6661068,36.63665715,8.781534502,7.313729792
6,5,12,125,949599.6087,5.105206973,2.637513567,1.007126486,48.41506849,304.5560766,1.309944192,41.57462935,162.9091132,1950.311948,3726.795004,3713.894095,176.9079632,83.24655684,71.18638611,531.9276552,-1.079761794,16.02173669,2.896939053,70.76318527,0.008324656,-17.52115685,313.4587443,57.23905088,25.14353552,215.4751616,43.05424826,15.51145955,0,61.99101346,12.17756273,82.3825864,18.91867574,295.9375875,42.6144136,8.871488994,8.377743484
6,6,12,150,1293073.627,5.951769634,2.593227676,1.03980787,48.41506849,355.8320938,1.451921344,46.40647429,180.1394673,2135.971042,4344.79767,4330.684353,196.0819775,92.05126779,77.96294303,573.7362099,-1.062234157,23.888988,3.002565755,78.43279099,0.009205127,-25.31603186,348.5482271,77.00317594,27.26244723,221.6760087,42.74102576,16.40729968,0,68.55052471,14.17551125,104.2656232,26.89155375,323.2321952,45.74137683,8.894962905,8.719990643
6,7,12,175,1411391.698,6.012271746,2.364356463,1.040144812,48.41506849,359.4902435,1.462049019,46.7512718,178.9451993,2103.278853,4388.964956,4374.680652,197.44972,91.44099682,76.76967815,576.7214183,-1.062344651,27.68484603,3.376625061,78.97988798,0.0091441,-29.23860074,351.0513052,98.02217716,31.49409189,222.1193798,39.52678223,16.29388858,0,70.03239546,14.75866511,129.5162691,31.06147109,321.8127044,45.48273095,8.90759454,9.289529588
6,8,12,200,1592621.743,7.195875294,2.584562361,1.191854745,48.41506849,430.4367626,1.658514923,53.45100587,199.9157159,2297.468903,5252.999777,5237.421638,223.9824404,102.1569308,83.85761497,634.6550112,-1.058562466,32.19712804,4.308876756,89.59297616,0.010215693,-34.48639638,399.6078632,111.5443791,38.76406299,230.7879011,43.1873537,18.93333947,0,79.92840849,18.34746076,150.3084421,36.5060048,365.1214668,49.69555792,8.978542617,10.30987223
6,9,12,225,1700064.521,7.057205996,2.327932716,1.097724275,48.41506849,422.1082494,1.635447261,52.66470442,194.8501319,2243.826722,5151.770417,5136.08715,220.8671526,99.56841742,81.89967535,627.8638161,-1.059055765,36.90980237,3.977408422,88.34686102,0.009956842,-38.6072312,393.9068001,138.0389862,38.20047277,229.7731532,39.26381282,17.37594999,0,79.96001742,17.72477744,176.2394589,40.88721079,355.2995689,48.76154106,8.970168536,10.22817863
6,10,12,250,1934137.898,7.962485995,2.318243339,1.177345025,48.41506849,476.1081492,1.784992797,57.7692271,212.0150718,2416.114927,5812.623647,5796.095796,241.0632772,108.3397017,88.18819484,671.9882293,-1.054591465,43.99883745,4.383214996,96.42531089,0.01083397,-45.87753084,430.8670746,156.6779938,41.54336632,236.4027129,39.31889155,18.82605993,0,86.98578132,20.17703908,198.2213601,48.38205245,384.9895438,51.77663987,9.009865808,10.6908721
6,13,15,75,409736.6706,1.612612558,1.7066272,0.497948745,52.81643836,96.33402203,0.733360549,21.89130297,84.56309585,1057.731463,1177.207453,1167.863417,99.04034209,43.21174198,38.60719842,415.7653121,-1.15530297,6.47699435,0.981180179,39.61613683,0.004321174,-6.455600586,170.9542956,31.03864935,11.11666701,243.7452776,28.29977484,7.489036009,0,36.78362846,4.853807349,42.15531636,7.45817453,164.498695,32.84568364,8.667490719,5.807223099
6,14,15,100,619358.3803,3.410852758,2.193043584,0.668119369,52.81643836,203.6379298,1.030020448,32.02002688,110.457655,1348.951656,2489.921126,2478.582958,139.1042615,56.44386172,49.23673546,505.5146965,-1.113762522,10.38810327,1.40394238,55.64170459,0.005644386,-10.58757627,244.2850745,45.76283249,14.84478011,258.918673,38.37860712,10.68412705,0,54.08905733,7.400986476,60.6076126,11.79204565,233.6974982,39.3923874,8.770266283,6.670470616
6,15,15,125,910897.2156,4.756247538,2.346752545,0.848571012,52.81643836,283.7673658,1.25176091,39.59224235,130.0552791,1558.242431,3472.055515,3459.60891,169.0503109,66.45824764,56.87584872,572.5919,-1.085431769,15.82720365,2.322068991,67.62012437,0.006645825,-16.72078629,299.0922257,61.90625168,19.70356823,270.269843,42.08019859,13.84969697,0,66.62726805,9.735696868,81.6098199,18.14927264,282.3714394,43.3881801,8.844927184,7.524104139
6,16,15,150,1204733.991,6.328987807,2.637074836,0.944465298,52.81643836,378.5815499,1.514110897,48.5300599,153.0386956,1805.314646,4620.170599,4606.209236,204.4806766,78.20277346,65.89398458,651.7984059,-1.067156724,22.56189382,2.608711531,81.79227063,0.007820277,-23.58660616,363.9359919,79.15671656,22.68911785,283.5399045,48.38045631,16.12590245,0,81.99764116,12.41894749,101.8458344,25.17060535,340.3493858,48.15616559,8.878481434,8.063231667
6,17,15,175,1497682.355,7.624498929,2.688272559,1.135870921,52.81643836,455.8283763,1.727860437,55.82783812,169.2030682,1948.752335,5565.891537,5550.141633,233.347552,86.46276787,71.12946023,716.4733018,-1.058614362,28.88314385,3.814638253,93.33902079,0.008646277,-30.88734035,416.7682453,92.74289025,30.25689836,294.4727806,50.21152908,19.52411709,0,94.98028431,15.41131492,122.9997886,32.6977821,385.880905,51.99821139,8.943472746,9.098818125
6,18,15,200,1820847.062,8.309377815,2.59414874,1.093460971,52.81643836,496.8458709,1.841372404,59.69988282,179.7975684,2071.845829,6065.854988,6050.135666,248.6773432,91.87655745,75.62237275,750.7547456,-1.051435322,37.98961589,3.612817983,99.47093729,0.009187656,-39.56727818,444.8243896,117.2138501,29.92904,300.248868,48.71425558,19.0079736,0,101.6723059,16.31304806,147.1428901,41.60243387,405.2571114,52.85410992,8.941259639,9.069464232
6,19,15,225,1872537.602,9.020596708,2.661166256,1.24381155,52.81643836,539.4438339,1.959247126,63.72076593,188.6471549,2148.11802,6585.046766,6568.69698,264.5963244,96.39869615,78.40630774,786.3802073,-1.052995101,40.49207452,4.448171185,105.8385298,0.00963987,-42.67849456,473.9590927,137.1310209,33.93628571,306.2496473,50.31652317,21.21427267,0,108.7975255,18.03451326,171.0673066,44.9402457,431.2805982,53.92869337,8.982897332,9.648806262
6,20,15,250,2135735.538,9.582578385,2.61329221,1.071472268,52.81643836,573.0796531,2.052317226,66.89599978,199.2788012,2258.041802,6995.294563,6978.112433,277.1654413,101.8314674,82.41852576,814.5243245,-1.04867467,49.94165777,3.738609992,110.8661765,0.010183147,-51.18867584,496.9630598,160.5159035,34.93257561,310.9924061,49.66217928,18.82405188,0,113.0530924,19.43852126,195.4484791,53.68026776,445.774384,54.55152093,8.98283849,9.782482208
