trait,runNum,Tmax,Precip,Ca,Ccwd,Cdoc1,Cdoc2,Cl,Cr,Cs1,Cs2,Cs3,Cs4,Cw,Cwmin,Ds1,Ds3,Ds4,GPP,LCE/NEE,LCT1,LCT2,Ls1,Ls3,NEE,NPP,Q1,Q2,Ra,Rhdoc,Rhdoc2,Rr,Rs1,Rs3,SumD,SumLdoc,SumRSoil,T,W1,W2
20,2,12,50,396480.3382,3.611753501,2.8671266,0.658473824,48.41506849,215.5886661,1.063547198,33.16213188,140.9407553,1807.384001,2636.577857,2624.459193,143.6320491,72.02072595,65.96951605,516.1308895,-1.107864573,6.384698797,0.721809484,57.45281963,0.007202073,-6.414600173,252.5617482,18.77812487,7.677267909,261.4413879,45.48659178,9.724424609,0,48.41238838,6.228028635,26.45539278,7.106508281,246.1471481,23.54460722,8.542175185,4.96994589
20,3,12,75,808535.5207,6.434776839,3.617268749,0.990704953,48.41506849,384.7101284,1.531880264,49.13461541,195.5500233,2436.134563,4697.393419,4682.069426,206.8804296,99.92606192,88.91891155,654.2469781,-1.056381042,13.0182694,2.044200985,82.75217184,0.009992606,-14.25855803,368.3103856,30.9481052,14.29515747,282.1170606,59.49662794,15.4093577,0,71.378511,11.07376725,45.24326268,15.06247039,354.0518276,29.75673732,8.676473771,6.385974293
20,4,12,100,1222672.894,8.691449177,4.000194088,1.354035877,48.41506849,519.7649844,1.905881662,61.89243561,234.9037881,2852.64369,6344.76874,6327.066152,257.3893185,120.0358357,104.1214947,764.5529622,-1.04229983,20.1626699,3.533832626,102.9557274,0.012003584,-22.73482337,460.7449385,44.59530066,20.68913309,298.6439987,66.93991595,21.4639835,0,91.31233011,15.90290612,65.28443374,23.69650253,438.0101151,34.71556626,8.781534502,7.636458535
20,5,12,125,1615873.841,10.96166112,4.446650018,1.627665094,48.41506849,655.2924856,2.281193873,74.70122854,274.4688602,3251.174137,8002.022354,7981.599794,308.0752326,140.2535876,118.667856,875.2983522,-1.036293667,27.70118117,4.978435477,123.230093,0.014025359,-31.5350925,553.5037669,57.23905088,28.28530418,315.2712094,75.26627089,26.36394655,0,110.6767813,21.50118849,85.52435506,32.67961665,521.9686744,39.47264494,8.871488994,8.809815159
20,6,12,150,2125573.446,12.2715526,4.393498063,1.687716133,48.41506849,733.6369192,2.49814624,82.10276452,300.1521959,3514.818039,8958.244945,8936.195443,337.3746497,153.3777721,128.2908584,939.2980194,-1.030904318,39.60704605,5.281616805,134.9498599,0.015337777,-43.54299625,607.1237315,77.00317594,30.85373313,324.8649551,74.58132454,27.78358815,0,121.1030142,24.9585901,107.8569091,44.88866286,563.5807353,42.15009093,8.894962905,9.223851334
20,7,12,175,2301107.43,12.28914275,4.025709062,1.663393059,48.41506849,734.692213,2.501070689,82.20246067,298.1538407,3456.424888,8971.08583,8949.133307,337.7695966,152.3566126,126.1595084,940.1563475,-1.032098314,45.74955876,5.646122632,135.1078386,0.015235661,-49.79727291,607.8464617,98.02217716,35.29843374,324.9934231,69.18378125,27.09500976,0,122.1601037,26.07198551,133.3206109,51.39568139,558.0491888,41.67838909,8.90759454,9.832877105
20,8,12,200,2607007.016,13.97876978,4.237535849,1.890296759,48.41506849,835.7671403,2.780969778,91.75113108,326.3159747,3691.50018,10204.51621,10180.54605,375.5699685,166.7474631,134.7397566,1022.722002,-1.030509293,53.43113768,7.160859284,150.2279874,0.016674746,-58.79810824,677.023718,111.5443791,43.36625683,337.3683501,72.65141586,31.05739312,0,136.8158813,31.83606382,154.9106359,60.59199697,618.2256098,45.09336408,8.978542617,10.94058313
20,9,12,225,2767716.565,13.80818983,3.872669502,1.731262472,48.41506849,825.5674586,2.752718021,90.78729049,320.8990463,3639.407123,10079.99265,10055.87272,371.7545687,163.9794127,132.83836,1014.400018,-1.031281831,61.1391818,6.516689593,148.7018275,0.016397941,-65.60366854,670.0414164,138.0389862,42.59220271,336.1201642,66.88829421,28.35352479,0,136.5575189,30.97734667,180.6311889,67.65587139,604.4377479,44.36981112,8.970168536,10.83025088
20,10,12,250,3069783.676,15.01631395,3.846421158,1.837636448,48.41506849,897.8373287,2.952857248,97.61494705,342.7648274,3836.339404,10961.92513,10936.79926,398.7833714,175.1528268,140.0263882,1073.422743,-1.029838978,70.83616374,7.204312416,159.5133486,0.017515283,-75.77929928,719.5057965,156.6779938,46.75729674,344.96708,66.55207656,30.26489984,0,146.3683641,34.92733327,203.4352905,78.04047616,643.7264972,46.56270945,9.009865808,11.40510914
20,12,15,50,325435.6417,2.926808292,2.417630335,0.545462063,52.81643836,174.6849774,0.951338556,29.32573327,105.2106837,1348.190442,2136.567959,2125.029207,128.4782721,53.76265935,49.20895113,555.1775074,-1.144505086,5.199108097,0.583958284,51.39130882,0.005376266,-5.052897058,224.8057965,18.79711009,6.48819596,328.3702504,41.60805582,8.358992984,0,49.26287077,4.770978999,25.28530605,5.783066381,219.7528995,24.71769395,8.541481518,4.60878723
