"Val2","Val3"
507.233206866939,616.626187473815
3392.59999753491,3573.96399751633
5412.97648735875,5680.51341531268
7027.45699699708,7365.74233251803
8680.2914459924,9014.90273790457
9593.906303283,10018.3882630713
9646.33195382649,10001.5508124737
10843.1295799357,11264.0537587906
10695.0814173882,11165.1013598913
11591.1880132783,12040.4906621279
-6863.74449377934,-6568.94195312791
3103.44293136061,3314.78102625556
5823.3987471821,6151.50164503728
7976.45037992318,8428.9267737357
9370.70327566654,9826.80883328897
10883.6032968151,11359.326355328
12345.5018746716,12935.9106369606
12846.3121489377,13416.7219111989
13483.1400471907,14084.3174779576
14030.8849126412,14653.147960652
-12615.1919756312,-12304.6058636499
2523.19658802649,2738.31349021458
5151.82239644108,5555.49741616973
7957.29558768384,8400.72709366702
9748.43957705398,10271.1762600909
11894.5332423444,12430.9974495498
12635.8081561796,13185.3747339511
13645.553690487,14273.5428906606
15242.5059367274,15915.6684778027
16472.8679180678,17233.8828493801
-18702.8111151586,-18375.5312016444
1615.1379791976,1826.10956641554
4342.47577135495,4716.34661801304
6120.36957091493,6617.26544064698
9268.42476569129,9802.10822482278
11246.1295667193,11778.2619237232
13533.7015428886,14135.158506205
14854.7703210197,15477.0108200395
15759.3940425065,16447.7278887345
16601.4226571592,17308.8126254913
-27219.8977928533,-26888.8542891788
-694.476766382157,-914.021004228503
3476.02354867138,3821.93857445521
6224.47675856045,6662.97484707959
8491.63935250727,8971.50157486045
9423.4905951401,10000.7038386371
11975.9497527653,12688.2546426973
13086.9766403865,13799.7629165653
15557.790718021,16330.6956495991
17410.4757253405,18234.8958155222
-44007.9414106653,-43508.9079530173
-13128.0662493465,-12269.2777662865
2119.88669850893,2401.98159722332
4496.49686269056,4910.02897767977
5995.78267394886,6502.98398546518
8106.79797583711,8663.28012028372
10466.33434705,11079.6513147256
11485.0659679902,12241.908117436
13282.5979817819,14090.7049077902
14904.2326824768,15664.7589421457
