"Month","Day","Precip","AnnPpt","MeanTemp","DOY","PAR","VPD","Evap","SoilTemp","runNum","Site","Tmax"
1,1,0,25,-1.588,1,35.008,0.147,0.453,0,1,"HighLat",12
1,2,0.352,25,-1.588,2,21.072,0.147,0.454,0,1,"HighLat",12
1,3,0.045,25,-1.588,3,21.144,0.147,0.456,0,1,"HighLat",12
1,4,0,25,-1.588,4,35.37,0.147,0.457,0,1,"HighLat",12
1,5,0,25,-1.588,5,35.508,0.147,0.459,0,1,"HighLat",12
1,6,0,25,-1.588,6,35.656,0.147,0.461,0,1,"HighLat",12
1,7,0,25,-1.588,7,35.812,0.147,0.463,0,1,"HighLat",12
1,8,0.043,25,-1.588,8,21.586,0.147,0.465,0,1,"HighLat",12
1,9,0,25,-1.588,9,36.151,0.147,0.467,0,1,"HighLat",12
1,10,0,25,-1.588,10,36.333,0.147,0.47,0,1,"HighLat",12
1,11,0.018,25,-1.588,11,21.914,0.147,0.472,0,1,"HighLat",12
1,12,0,25,-1.588,12,36.724,0.147,0.475,0,1,"HighLat",12
1,13,0.018,25,-1.588,13,22.159,0.147,0.477,0,1,"HighLat",12
1,14,0,25,-1.588,14,37.148,0.147,0.48,0,1,"HighLat",12
1,15,0.031,25,-1.588,15,22.424,0.147,0.483,0,1,"HighLat",12
1,16,0.196,25,-1.588,16,22.564,0.147,0.486,0,1,"HighLat",12
1,17,0.063,25,-1.588,17,22.708,0.147,0.489,0,1,"HighLat",12
1,18,0,25,-1.588,18,38.097,0.147,0.492,0,1,"HighLat",12
1,19,0,25,-1.588,19,38.354,0.147,0.496,0,1,"HighLat",12
1,20,0.09,25,-1.588,20,23.172,0.147,0.499,0,1,"HighLat",12
1,21,0.17,25,-1.588,21,23.336,0.147,0.503,0,1,"HighLat",12
1,22,0.156,25,-1.588,22,23.504,0.147,0.506,0,1,"HighLat",12
1,23,0.029,25,-1.588,23,23.678,0.147,0.51,0,1,"HighLat",12
1,24,0,25,-1.588,24,39.759,0.147,0.514,0,1,"HighLat",12
1,25,0.056,25,-1.588,25,24.037,0.147,0.518,0,1,"HighLat",12
1,26,0,25,-1.588,26,40.373,0.147,0.522,0,1,"HighLat",12
1,27,0.052,25,-1.588,27,24.415,0.147,0.526,0,1,"HighLat",12
1,28,0,25,-1.588,28,41.017,0.147,0.53,0,1,"HighLat",12
1,29,0,25,-1.588,29,41.349,0.147,0.535,0,1,"HighLat",12
