"runNum","LeafOn","LeafOff","trait"
1,114,301,"Val1"
2,114,301,"Val1"
3,114,301,"Val1"
4,114,301,"Val1"
5,114,301,"Val1"
6,114,301,"Val1"
7,114,301,"Val1"
8,114,301,"Val1"
9,114,301,"Val1"
10,114,301,"Val1"
11,97,301,"Val1"
12,97,301,"Val1"
13,97,301,"Val1"
14,97,301,"Val1"
15,97,301,"Val1"
16,97,301,"Val1"
17,97,301,"Val1"
18,97,301,"Val1"
19,97,301,"Val1"
20,97,301,"Val1"
21,89,301,"Val1"
22,89,301,"Val1"
23,89,301,"Val1"
24,89,301,"Val1"
25,89,301,"Val1"
26,89,301,"Val1"
27,89,301,"Val1"
28,89,301,"Val1"
29,89,301,"Val1"
30,89,301,"Val1"
31,80,301,"Val1"
32,80,301,"Val1"
33,80,301,"Val1"
34,80,301,"Val1"
35,80,301,"Val1"
36,80,301,"Val1"
37,80,301,"Val1"
38,80,301,"Val1"
39,80,301,"Val1"
40,80,301,"Val1"
41,76,301,"Val1"
42,76,301,"Val1"
43,76,301,"Val1"
44,76,301,"Val1"
45,76,301,"Val1"
46,76,301,"Val1"
47,76,301,"Val1"
48,76,301,"Val1"
49,76,301,"Val1"
50,76,301,"Val1"
51,73,301,"Val1"
52,73,301,"Val1"
53,73,301,"Val1"
54,73,301,"Val1"
55,73,301,"Val1"
56,73,301,"Val1"
57,73,301,"Val1"
58,73,301,"Val1"
59,73,301,"Val1"
60,73,301,"Val1"
1,107,301,"Val2"
2,107,301,"Val2"
3,107,301,"Val2"
4,107,301,"Val2"
5,107,301,"Val2"
6,107,301,"Val2"
7,107,301,"Val2"
8,107,301,"Val2"
9,107,301,"Val2"
10,107,301,"Val2"
11,94,301,"Val2"
12,94,301,"Val2"
13,94,301,"Val2"
14,94,301,"Val2"
15,94,301,"Val2"
16,94,301,"Val2"
17,94,301,"Val2"
18,94,301,"Val2"
19,94,301,"Val2"
20,94,301,"Val2"
21,85,301,"Val2"
22,85,301,"Val2"
23,85,301,"Val2"
24,85,301,"Val2"
25,85,301,"Val2"
26,85,301,"Val2"
27,85,301,"Val2"
28,85,301,"Val2"
29,85,301,"Val2"
30,85,301,"Val2"
31,78,301,"Val2"
32,78,301,"Val2"
33,78,301,"Val2"
34,78,301,"Val2"
35,78,301,"Val2"
36,78,301,"Val2"
37,78,301,"Val2"
38,78,301,"Val2"
39,78,301,"Val2"
40,78,301,"Val2"
41,74,301,"Val2"
42,74,301,"Val2"
43,74,301,"Val2"
44,74,301,"Val2"
45,74,301,"Val2"
46,74,301,"Val2"
47,74,301,"Val2"
48,74,301,"Val2"
49,74,301,"Val2"
50,74,301,"Val2"
51,70,301,"Val2"
52,70,301,"Val2"
53,70,301,"Val2"
54,70,301,"Val2"
55,70,301,"Val2"
56,70,301,"Val2"
57,70,301,"Val2"
58,70,301,"Val2"
59,70,301,"Val2"
60,70,301,"Val2"
1,122,301,"Val3"
2,122,301,"Val3"
3,122,301,"Val3"
4,122,301,"Val3"
5,122,301,"Val3"
6,122,301,"Val3"
7,122,301,"Val3"
8,122,301,"Val3"
9,122,301,"Val3"
10,122,301,"Val3"
11,101,301,"Val3"
12,101,301,"Val3"
13,101,301,"Val3"
14,101,301,"Val3"
15,101,301,"Val3"
16,101,301,"Val3"
17,101,301,"Val3"
18,101,301,"Val3"
19,101,301,"Val3"
20,101,301,"Val3"
21,92,301,"Val3"
22,92,301,"Val3"
23,92,301,"Val3"
24,92,301,"Val3"
25,92,301,"Val3"
26,92,301,"Val3"
27,92,301,"Val3"
28,92,301,"Val3"
29,92,301,"Val3"
30,92,301,"Val3"
31,83,301,"Val3"
32,83,301,"Val3"
33,83,301,"Val3"
34,83,301,"Val3"
35,83,301,"Val3"
36,83,301,"Val3"
37,83,301,"Val3"
38,83,301,"Val3"
39,83,301,"Val3"
40,83,301,"Val3"
41,77,301,"Val3"
42,77,301,"Val3"
43,77,301,"Val3"
44,77,301,"Val3"
45,77,301,"Val3"
46,77,301,"Val3"
47,77,301,"Val3"
48,77,301,"Val3"
49,77,301,"Val3"
50,77,301,"Val3"
51,74,301,"Val3"
52,74,301,"Val3"
53,74,301,"Val3"
54,74,301,"Val3"
55,74,301,"Val3"
56,74,301,"Val3"
57,74,301,"Val3"
58,74,301,"Val3"
59,74,301,"Val3"
60,74,301,"Val3"
